"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8568","Verify user logout","chromium","2026-05-15","passed","2026-05-15","","TC04-Logout.spec.js","",""
"","2288","API Testing - Get All Products List","chromium","2026-05-14","passed","2026-05-14","","TC07-GET_Product_API.spec.js","",""
"","50590","Search product and add to cart","chromium","2026-05-14","passed","2026-05-14","","TC06-SearchProduct.spec.js","",""
"","7366","Verify user login","chromium","2026-05-15","passed","2026-05-15","","TC03-Login.spec.js","",""
"","893","Get All Brands List API Test","chromium","2026-05-14","passed","2026-05-14","","TC09-GET_Brands_API.spec.js","",""
"","805","POST To All Products List API Test","chromium","2026-05-14","passed","2026-05-14","","TC08-POST_Products_API.spec.js","",""
"","21483","Verify user registration","chromium","2026-05-15","passed","2026-05-15","","TC05-Register.spec.js","",""
"","751","GET User Account Detail By Email API Test","chromium","2026-05-14","passed","2026-05-14","","TC10-GET_Users_API.spec.js","",""
"","16890","Verify checkout and payment confirmation","chromium","2026-05-15","passed","2026-05-15","","TC01-AddToCart.spec.js","",""
"","41780","End-to-End Workflow: Register -> Search -> Add To Cart -> Checkout -> Logout","chromium","2026-05-15","passed","2026-05-15","","TC02-E2E.spec.js","",""
